Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
11,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:44,—,—,10:44,—,—,—,—,0.0,0.0,—,🚗
11,1,6,K11,ORD-CL-202612-000465_153051228,"calle morande 7758, Estación Central, Santiago, Chile","(-33.4594, -70.6985)",8.44,17.8,11:01,"[11:00, 13:00]",13:15,11:01,5.0,512.0,185.6,0.0,0.0,0.0,0.0,✅
11,2,6,K11,ORD-CL-202612-000356_88277359,"avenida. pajaritos 4700, Macul, Santiago, Chile","(-33.4789, -70.7432)",5.21,11.6,11:18,"[11:00, 13:00]",13:15,11:18,5.0,1230.0,168.3,0.0,0.0,0.0,0.0,✅
11,3,6,K11,ORD-CL-202612-000304_8829317  5,"avenida. providencia 4618, La Reina, Santiago, Chile","(-33.4830, -70.7438)",0.54,1.2,11:24,"[11:00, 13:00]",13:15,11:24,5.0,1735.7,214.1,0.0,0.0,0.0,0.0,✅
11,4,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.36,27.5,11:57,—,—,—,—,—,—,—,0.0,0.0,—,🏠
11,5,3,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
11,6,3,K12,ORD-CL-202612-000149_164783943,"avenida. las condes 7366, Providencia, Santiago, Chile","(-33.4032, -70.5563)",12.1,25.9,15:25,"[13:00, 15:00]",15:15,15:25,5.0,3293.2,357.4,0.0,0.0,0.0,10.9,❌
11,7,3,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.01,25.2,15:56,—,—,—,—,—,—,—,0.0,0.0,—,🏠
12,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:51,—,—,10:51,—,—,—,—,0.0,0.0,—,🚗
12,1,6,K11,ORD-CL-202612-000206_14073763  2,"calle monjitas 403, Recoleta, Santiago, Chile","(-33.4359, -70.6420)",4.7,10.1,11:01,"[11:00, 13:00]",13:15,11:01,5.0,1937.9,328.6,0.0,0.0,0.0,0.0,✅
12,2,6,K11,ORD-CL-202612-000218_12725879    1,"avenida. mapocho 6728, Lo Prado, Santiago, Chile","(-33.4238, -70.7277)",8.73,19.4,11:25,"[11:00, 13:00]",13:15,11:25,5.0,1670.2,208.9,0.0,0.0,0.0,0.0,✅
12,3,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",13.19,29.3,11:59,—,—,—,—,—,—,—,0.0,0.0,—,🏠
12,4,3,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
12,5,3,K12,ORD-CL-202612-000307_79410566,"avenida. kennedy 5315, Independencia, Santiago, Chile","(-33.4021, -70.5804)",10.99,23.5,15:23,"[13:00, 15:00]",15:15,15:23,5.0,3333.9,434.4,0.0,0.0,0.0,8.5,❌
12,6,3,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",10.79,22.7,15:51,—,—,—,—,—,—,—,0.0,0.0,—,🏠
13,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:45,—,—,10:45,—,—,—,—,0.0,0.0,—,🚗
13,1,6,K11,ORD-CL-202612-000189_192688723,"calle estado 3858, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",7.86,16.6,11:01,"[11:00, 13:00]",13:15,11:01,5.0,2017.5,236.8,0.0,0.0,0.0,0.0,✅
13,2,6,K11,ORD-CL-202612-000290_95787916,"avenida. libertador bernardo o'higgins 2045, Recoleta, Santiago, Chile","(-33.4458, -70.6602)",12.93,28.7,11:35,"[11:00, 13:00]",13:15,11:35,5.0,1508.8,212.3,0.0,0.0,0.0,0.0,✅
13,3,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.7,13.0,11:53,—,—,—,—,—,—,—,0.0,0.0,—,🏠
13,4,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
13,5,0,K12,ORD-CL-202612-000331_21037736    2,"calle compania de jesus 1424, Santiago, Santiago, Chile","(-33.4391, -70.6570)",5.77,12.4,15:12,"[09:00, 11:00]",11:15,15:12,5.0,583.1,112.9,0.0,0.0,0.0,237.4,❌
13,6,0,K12,ORD-CL-202612-000270_12996594    8,"avenida. mapocho 1503, Santiago, Santiago, Chile","(-33.4320, -70.6655)",1.71,3.6,15:21,"[09:00, 11:00]",11:15,15:21,5.0,1299.4,153.7,0.0,0.0,0.0,246.0,❌
13,7,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",7.11,15.0,15:41,—,—,—,—,—,—,—,0.0,0.0,—,🏠
14,0,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:34,—,—,10:34,—,—,—,—,0.0,0.0,—,🚗
14,1,3,K11,ORD-CL-202612-000256_11863822    2,"avenida. apoquindo 793, Ñuñoa, Santiago, Chile","(-33.4109, -70.5317)",13.57,28.1,11:02,"[11:00, 13:00]",13:15,11:02,5.0,887.5,154.3,0.0,0.0,0.0,0.0,✅
14,2,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",13.6,30.2,11:37,—,—,—,—,—,—,—,0.0,0.0,—,🏠
14,3,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
14,4,4,K12,ORD-CL-202612-000224_16111501    1,"avenida. mapocho 2352, Recoleta, Santiago, Chile","(-33.4321, -70.6671)",7.24,15.5,15:15,"[15:00, 17:00]",17:15,15:15,5.0,2943.2,391.0,0.0,0.0,0.0,0.0,✅
14,5,4,K12,ORD-CL-202612-000077_227169971,"calle compania de jesus 386, Peñalolén, Santiago, Chile","(-33.4392, -70.6588)",1.47,3.1,15:23,"[15:00, 17:00]",17:15,15:23,5.0,684.8,118.3,0.0,0.0,0.0,0.0,✅
14,6,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.87,12.3,15:40,—,—,—,—,—,—,—,0.0,0.0,—,🏠
15,0,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:35,—,—,10:35,—,—,—,—,0.0,0.0,—,🚗
15,1,3,K11,ORD-CL-202612-000235_5662885  2,"calle arturo prat 9631, Las Condes, Santiago, Chile","(-33.4089, -70.5380)",12.9,26.7,11:02,"[11:00, 13:00]",13:15,11:02,5.0,692.0,95.4,0.0,0.0,0.0,0.0,✅
15,2,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.88,28.6,11:36,—,—,—,—,—,—,—,0.0,0.0,—,🏠
15,3,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
15,4,0,K12,ORD-CL-202612-000203_10061823  5,"calle merced 7933, Estación Central, Santiago, Chile","(-33.4594, -70.6985)",8.44,18.1,15:18,"[09:00, 11:00]",11:15,15:18,5.0,1617.3,210.5,0.0,0.0,0.0,243.1,❌
15,5,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.1,17.2,15:40,—,—,—,—,—,—,—,0.0,0.0,—,🏠
16,0,7,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:00,—,—,17:00,—,—,—,—,0.0,0.0,—,🚗
16,1,7,K22,ORD-CL-202612-000407_184856263,"calle monjitas 5985, Vitacura, Santiago, Chile","(-33.3818, -70.5658)",13.32,27.6,17:27,"[17:00, 19:00]",19:15,17:27,5.0,4642.5,534.6,0.0,0.0,0.0,0.0,✅
16,2,7,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",13.23,27.4,17:59,—,—,—,—,—,—,—,0.0,0.0,—,🏠
17,0,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:00,—,—,17:00,—,—,—,—,0.0,0.0,—,🚗
17,1,1,K22,ORD-CL-202612-000394_61279374,"avenida. recoleta 3894, Recoleta, Santiago, Chile","(-33.4283, -70.6468)",5.69,11.8,17:11,"[17:00, 19:00]",19:15,17:11,5.0,1442.3,312.2,0.0,0.0,0.0,0.0,✅
17,2,1,K22,ORD-CL-202612-000324_14738270  9,"calle arturo prat 3533, Providencia, Santiago, Chile","(-33.3935, -70.6487)",4.27,8.8,17:25,"[17:00, 19:00]",19:15,17:25,5.0,2062.8,298.0,0.0,0.0,0.0,0.0,✅
17,3,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.71,20.1,17:50,—,—,—,—,—,—,—,0.0,0.0,—,🏠
18,0,5,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:00,—,—,17:00,—,—,—,—,0.0,0.0,—,🚗
18,1,5,K22,ORD-CL-202612-000345_13168967    9,"avenida. recoleta 6597, La Reina, Santiago, Chile","(-33.4329, -70.6480)",5.2,10.8,17:10,"[13:00, 15:00]",15:15,17:10,5.0,1021.8,166.2,0.0,0.0,0.0,115.8,❌
18,2,5,K22,ORD-CL-202612-000190_145443005,"calle morande 5902, Quinta Normal, Santiago, Chile","(-33.4346, -70.6826)",3.82,7.9,17:23,"[13:00, 15:00]",15:15,17:23,5.0,1558.0,217.2,0.0,0.0,0.0,128.6,❌
18,3,5,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.92,18.4,17:47,—,—,—,—,—,—,—,0.0,0.0,—,🏠
19,0,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:46,—,—,18:46,—,—,—,—,0.0,0.0,—,🚗
19,1,2,K22,ORD-CL-202612-000286_19237467  1,"avenida. kennedy 7565, Peñalolén, Santiago, Chile","(-33.5036, -70.5874)",6.43,13.3,19:00,"[19:00, 21:00]",21:15,19:00,5.0,694.2,85.5,0.0,0.0,0.0,0.0,✅
19,2,2,K22,ORD-CL-202612-000240_211776385,"avenida. pajaritos 1039, La Florida, Santiago, Chile","(-33.5203, -70.5784)",2.66,5.6,19:10,"[17:00, 19:00]",19:15,19:10,5.0,2752.7,368.9,0.0,0.0,0.0,0.0,✅
19,3,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.01,17.0,19:32,—,—,—,—,—,—,—,0.0,0.0,—,🏠
20,0,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:00,—,—,17:00,—,—,—,—,0.0,0.0,—,🚗
20,1,1,K22,ORD-CL-202612-000348_21466765  2,"calle estado 8982, Santiago, Santiago, Chile","(-33.4434, -70.6489)",4.65,9.6,17:09,"[17:00, 19:00]",19:15,17:09,5.0,407.2,68.8,0.0,0.0,0.0,0.0,✅
20,2,1,K22,ORD-CL-202612-000213_7891477    2,"avenida. providencia 5573, Providencia, Santiago, Chile","(-33.4283, -70.6191)",3.66,7.6,17:22,"[17:00, 19:00]",19:15,17:22,5.0,105.2,25.3,0.0,0.0,0.0,0.0,✅
20,3,1,K22,ORD-CL-202612-000377_104367164,"avenida. manuel montt 756, Providencia, Santiago, Chile","(-33.4349, -70.6165)",0.86,1.8,17:28,"[17:00, 19:00]",19:15,17:28,5.0,2283.1,241.3,0.0,0.0,0.0,0.0,✅
20,4,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.02,10.4,17:44,—,—,—,—,—,—,—,0.0,0.0,—,🏠
